Spec,Size,Remove,Is Real.,Total,
specs/prioritized_arbiter.spectra, 50, -1, true, 10.298, 
specs/prioritized_arbiter.spectra, 50, 0, true, 10.559, 
specs/prioritized_arbiter.spectra, 50, 1, true, 7.797, 
specs/prioritized_arbiter.spectra, 50, 2, true, 10.229, 
specs/prioritized_arbiter.spectra, 50, 3, true, 9.963, 
specs/prioritized_arbiter.spectra, 50, 4, true, 13.154, 
specs/prioritized_arbiter.spectra, 50, 5, true, 8.450, 
specs/prioritized_arbiter.spectra, 50, 6, true, 8.759, 
specs/prioritized_arbiter.spectra, 50, 7, true, 8.921, 
specs/prioritized_arbiter.spectra, 50, 8, true, 8.082, 
specs/prioritized_arbiter.spectra, 50, 9, true, 9.902, 
specs/prioritized_arbiter.spectra, 50, 10, true, 9.802, 
specs/prioritized_arbiter.spectra, 50, 11, true, 9.810, 
specs/prioritized_arbiter.spectra, 50, 12, true, 9.034, 
specs/prioritized_arbiter.spectra, 50, 113, false, 51.343, 
specs/prioritized_arbiter.spectra, 75, -1, true, 34.417, 
specs/prioritized_arbiter.spectra, 75, 0, true, 39.832, 
specs/prioritized_arbiter.spectra, 75, 1, true, 31.216, 
specs/prioritized_arbiter.spectra, 75, 2, true, 34.485, 
specs/prioritized_arbiter.spectra, 75, 3, true, 32.300, 
specs/prioritized_arbiter.spectra, 75, 4, true, 54.102, 
specs/prioritized_arbiter.spectra, 75, 5, true, 30.884, 
specs/prioritized_arbiter.spectra, 75, 6, true, 34.330, 
specs/prioritized_arbiter.spectra, 75, 7, true, 31.241, 
specs/prioritized_arbiter.spectra, 75, 8, true, 30.858, 
specs/prioritized_arbiter.spectra, 75, 9, true, 34.748, 
specs/prioritized_arbiter.spectra, 75, 10, true, 34.012, 
specs/prioritized_arbiter.spectra, 75, 11, true, 39.132, 
specs/prioritized_arbiter.spectra, 75, 12, true, 30.337, 
specs/prioritized_arbiter.spectra, 75, 163, false, 259.306, 
specs/prioritized_arbiter.spectra, 100, -1, true, 99.134, 
specs/prioritized_arbiter.spectra, 100, 0, true, 104.612, 
specs/prioritized_arbiter.spectra, 100, 1, true, 91.877, 
specs/prioritized_arbiter.spectra, 100, 2, true, 99.011, 
specs/prioritized_arbiter.spectra, 100, 3, true, 94.887, 
specs/prioritized_arbiter.spectra, 100, 4, true, 172.512, 
specs/prioritized_arbiter.spectra, 100, 5, true, 103.867, 
specs/prioritized_arbiter.spectra, 100, 6, true, 97.098, 
specs/prioritized_arbiter.spectra, 100, 7, true, 85.743, 
specs/prioritized_arbiter.spectra, 100, 8, true, 88.661, 
specs/prioritized_arbiter.spectra, 100, 9, true, 93.316, 
specs/prioritized_arbiter.spectra, 100, 10, true, 124.978, 
specs/prioritized_arbiter.spectra, 100, 11, true, 108.225, 
specs/prioritized_arbiter.spectra, 100, 12, true, 102.185, 
specs/prioritized_arbiter.spectra, 100, 213, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 125, -1, true, 353.766, 
specs/prioritized_arbiter.spectra, 125, 0, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 125, 1, true, 283.773, 
specs/prioritized_arbiter.spectra, 125, 2, true, 284.191, 
specs/prioritized_arbiter.spectra, 125, 3, true, 283.836, 
specs/prioritized_arbiter.spectra, 125, 4, true, 362.699, 
specs/prioritized_arbiter.spectra, 125, 5, true, 264.654, 
specs/prioritized_arbiter.spectra, 125, 6, true, 250.169, 
specs/prioritized_arbiter.spectra, 125, 7, true, 253.007, 
specs/prioritized_arbiter.spectra, 125, 8, true, 249.964, 
specs/prioritized_arbiter.spectra, 125, 9, true, 255.242, 
specs/prioritized_arbiter.spectra, 125, 10, true, 257.458, 
specs/prioritized_arbiter.spectra, 125, 11, true, 266.028, 
specs/prioritized_arbiter.spectra, 125, 12, true, 262.770, 
specs/prioritized_arbiter.spectra, 125, 263, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, -1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 0, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 2, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 3, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 4, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 5, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 6, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 7, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 8, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 9, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 10, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 11, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 12, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 150, 313, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, -1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 0, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 2, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 3, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 4, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 5, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 6, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 7, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 8, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 9, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 10, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 11, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 12, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 175, 363, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, -1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 0, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 2, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 3, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 4, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 5, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 6, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 7, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 8, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 9, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 10, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 11, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 12, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter.spectra, 200, 413, class java.util.concurrent.TimeoutException
